[2025-09-02 14:02:52] Ticker: HDFCBANK.NS | Signal: SELL STOCK | Close: 946.40 | EMA9: 950.95 | EMA21: 954.75 | EMA55: 966.72
[2025-09-02 14:02:53] Ticker: ^NSEI | Signal: HOLD | Close: 24591.25 | EMA9: 24651.29 | EMA21: 24634.76 | EMA55: 24699.00
[2025-09-02 14:02:53] Ticker: ^NSEBANK | Signal: SELL STOCK | Close: 53697.45 | EMA9: 53930.14 | EMA21: 54009.78 | EMA55: 54441.58
[2025-09-02 14:02:54] Ticker: ASIANPAINT.NS | Signal: BUY STOCK | Close: 2539.40 | EMA9: 2554.08 | EMA21: 2543.91 | EMA55: 2531.28
[2025-09-02 14:02:54] Ticker: RELIANCE.NS | Signal: SELL STOCK | Close: 1368.00 | EMA9: 1370.02 | EMA21: 1372.37 | EMA55: 1383.88
[2025-09-02 14:04:47] Ticker: HDFCBANK.NS | Signal: SELL STOCK | PRICE : 945.90 
[2025-09-02 14:04:47] Ticker: ^NSEI | Signal: HOLD | PRICE : 24563.70 
[2025-09-02 14:04:48] Ticker: ^NSEBANK | Signal: SELL STOCK | PRICE : 53657.40 
[2025-09-02 14:04:48] Ticker: ASIANPAINT.NS | Signal: BUY STOCK | PRICE : 2536.30 
[2025-09-02 14:04:49] Ticker: RELIANCE.NS | Signal: SELL STOCK | PRICE : 1365.70 





[2025-09-02 20:07:50] Ticker: HDFCBANK.NS | Signal: SELL STOCK | PRICE: 944.50
[2025-09-02 20:07:55] Ticker: ^NSEI | Signal: SELL STOCK | PRICE: 24575.00
[2025-09-02 20:08:00] Ticker: ^NSEBANK | Signal: SELL STOCK | PRICE: 53627.25
[2025-09-02 20:08:04] Ticker: ASIANPAINT.NS | Signal: BUY STOCK | PRICE: 2540.00
[2025-09-02 20:08:09] Ticker: RELIANCE.NS | Signal: SELL STOCK | PRICE: 1366.50
[2025-09-02 20:17:50] Ticker: HDFCBANK.NS | Signal: SELL STOCK | PRICE: 944.50
[2025-09-02 20:17:54] Ticker: ^NSEI | Signal: SELL STOCK | PRICE: 24575.00
[2025-09-02 20:17:58] Ticker: ^NSEBANK | Signal: SELL STOCK | PRICE: 53627.25
[2025-09-02 20:18:03] Ticker: ASIANPAINT.NS | Signal: BUY STOCK | PRICE: 2540.00
[2025-09-02 20:18:07] Ticker: RELIANCE.NS | Signal: SELL STOCK | PRICE: 1366.50
[2025-09-02 20:28:12] Ticker: HDFCBANK.NS | Signal: SELL STOCK | PRICE: 944.50
[2025-09-02 20:28:16] Ticker: ^NSEI | Signal: SELL STOCK | PRICE: 24575.00
[2025-09-02 20:28:21] Ticker: ^NSEBANK | Signal: SELL STOCK | PRICE: 53627.25
[2025-09-02 20:28:25] Ticker: ASIANPAINT.NS | Signal: BUY STOCK | PRICE: 2540.00
[2025-09-02 20:28:29] Ticker: RELIANCE.NS | Signal: SELL STOCK | PRICE: 1366.50
[2025-09-02 20:38:33] Ticker: HDFCBANK.NS | Signal: SELL STOCK | PRICE: 944.50
[2025-09-02 20:38:38] Ticker: ^NSEI | Signal: SELL STOCK | PRICE: 24575.00
[2025-09-02 20:38:42] Ticker: ^NSEBANK | Signal: SELL STOCK | PRICE: 53627.25
[2025-09-02 20:38:47] Ticker: ASIANPAINT.NS | Signal: BUY STOCK | PRICE: 2540.00
